Rank,Player,Team,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS2,Y/R,TD3,FL,G,FPTS,FPTS/G,ROST
234,Ja'Quinden Jackson (JAC),JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30%
235,Keaontay Ingram (KC),KC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
236,Adam Prentice (FA),FA,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0.00%
237,Shane Bannon (KC),KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
238,Jay Finley (CIN),CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
239,Willie Carter (CHI),CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
240,Kenny Irons (CIN),CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Chad Simpson (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
242,Anthony Alridge (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
243,Dantrell Savage (CAR),CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,Xavier Omon (SF),SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
245,Garrett Mills (NE),NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
246,Madison Hedgecock (NYG),NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
247,Samkon Gado (TEN),TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
248,John Kelly Jr. (FA),FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
249,Nyheim Hines (FA),FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.10%
250,Taquan Mizzell (NYG),NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
251,Trayveon Williams (NE),NE,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
252,Khari Blasingame (FA),FA,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
253,Andrew Beck (NYJ),NYJ,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0.00%
